sequence ID,Name,URL,length (# available seq members leq 200),cathegory (trivial [T]/exists [E]/hard [H]),ground truth,"Diofantos [disco., outputed]",SINDy
A000002,Kolakoski,https://oeis.org/A000002,200,hard,"no, (a(n+2)*a(n+1)*a(n)/2 = a(n+2) + a(n+1) + a(n) - 3 )",?,?
A000005,Number of divisors of n,https://oeis.org/A000005,200,hard,no,,
A000009,Expansion of product ...,https://oeis.org/A000009,200,hard,no,,
A000010,Euler totient function,https://oeis.org/A000010,200,hard,"no, a(n) = binomial(n+1, 2) - Sum_{i=1..n-1} a(i)*floor(n/i)",,
A000014,series-reduced trees,https://oeis.org/A000014,200,hard,no.,,
A000019,primitive permutation groups,https://oeis.org/A000019,200,hard,no.,,
A000029,"bracelets, i.e. necklaces of 2 colors, turning allowed",https://oeis.org/A000029,200,hard,"no, a(0) = 1; a(n) = Sum_{k=1..n} 2^gcd(n,k)/(2*n) + either 2^((n - 1)/2) if n odd or 2^(n/2 - 1) + 2^(n/2 - 2) if n even.",,
A000031,necklaces with 2 colors w/ turning not allowed,https://oeis.org/A000031,200,hard,"no,  a(n) = (1/n) * Sum_{k=1..n} 2^gcd(n,k)",,
A000032,Lucas num. (beg. 2),https://oeis.org/A000032,200,exists,a_n = a_{n-1} + a_{n-2},yes! a_n = a_{n-1} + a_{n-2},"yes, a(n) = a(n - 2) + a(n - 1)"
A000035,"period 2 (repeat 0,1)",https://oeis.org/A000035,200,exists,"a(n) = (1 - (-1)^n)/2.
a(n) = n mod 2.
a(n) = 1 - a(n-1).",yes! a_n = 1 - a_{n-1},"yes, a(n) = 1 - a(n - 1)"
A000040,primes,https://oeis.org/A000040,200,hard,no,no?,no?
A000041,partitions,https://oeis.org/A000041,200,hard,no,,
A000043,Mersenne exponents,https://oeis.org/A000043,48,hard,no,,
A000045,Fibonacci,https://oeis.org/A000045,200,exists,a_n = a_{n-1} + a_{n-2},yes! a_n = a_{n-1} + a_{n-2},"yes, a(n) = a(n - 2) + a(n - 1)"
A000048,necklaces with 2 interchangable colors,https://oeis.org/A000048,200,hard,no,,
A000055,trees with n unlabeled nodes,https://oeis.org/A000055,200,hard,no,,
A000058,Sylvester's sequence,https://oeis.org/A000058,13,E,a(n+1) = a(n)^2 - a(n) + 1,yes! a_n = a_{n-1}^2 - a_{n-1} + 1,no
A000069,Odious numbers,https://oeis.org/A000069,200,hard,"no, a(2*n) = 6*n-3 -a(n), a(2*n+1) = a(n+1) + 2*n",,
A000079,Powers of 2,https://oeis.org/A000079,200,E,"a(n) = 2^n, a(n) = 2*a(n-1)","yes, a_n = 2*a_{n-1}","yes, a(n) = 2*a(n - 1)"
A000081,unlabeled rooted trees with n nodes,https://oeis.org/A000081,200,hard,"no, a(n+1) = (1/n) * Sum_{k=1..n} ( Sum_{d|k} d*a(d) ) * a(n-k+1).",,
A000085,involutions on n letters,https://oeis.org/A000085,200,E,"yes, a(n) = (n-1)*a(n-2) + a(n-1), a(n) = Sum_{k=0..floor(n/2)} n!/((n-2*k)!*2^k*k!).
a(m+n) = Sum_{k>=0} k!*binomial(m, k)*binomial(n, k)*a(m-k)*a(n-k)e",,
A000088,graphs on n unlabeled nodes. ,https://oeis.org/A000088,88,hard,"no, (n) = 2^binomial(n, 2)/n!*(1+(n^2-n)/2^(n-1)+8*n!/(n-4)!*(3*n-7)*(3*n-9)/2^(2*n)+O(n^5/2^(5*n/2)))",,
A000105,free polyominoes ,https://oeis.org/A000105,51,hard,no,,
A000108,Catalan numbers,https://oeis.org/A000108,200,hard,"no, a(n) = binomial(2n,n)/(n+1) = (2n)!/(n!(n+1)!), 
a(n) = 2*(2*n-1)*a(n-1)/(n+1),
a(n) = Sum_{k=0..n-1} a(k)a(n-1-k).",,
A000110,Bell or exponential numbers,https://oeis.org/A000110,200,hard,"no, a(n+1) = Sum_{k=0..n} a(k)*binomial(n, k).",,
A000111,Euler numbers,https://oeis.org/A000111,200,hard," no, 2*a(n+1) = Sum_{k=0..n} binomial(n, k)*a(k)*a(n-k).",,
A000120,1's in binary,https://oeis.org/A000120,200,exists?," a(2*n) = a(n), a(2*n+1) = a(n) + 1, a(n) = a(n - 2^floor(log_2(n))) + 1",,
A000123,binary partitions,https://oeis.org/A000123,200,exists?,"no, a(n) = a(n-1) + a(floor(n/2))",,
A000124,Central polygonal numbers (the Lazy Caterer's sequence),https://oeis.org/A000124,200,E,"a(n) = n(n+1)/2 + 1,
a(n+3) = 3*a(n+2) - 3*a(n+1) + a(n),
a(n) = a(n-1) + n, 
a(n) = 2*a(n-1) - a(n-2) + 1",yes! 2*a(n-1) - a(n-2) + 1,no?
A000129,Pell numbers,https://oeis.org/A000129,200,E,a(n) = 2*a(n-1) + a(n-2),yes! 2*a(n-1) + a(n-2),"yes, a(n) = a(n - 2) + 2*a(n - 1)"
A000140,Kendall-Mann numbers,https://oeis.org/A000140,200,hard,no,,
A000142,Factorials,https://oeis.org/A000142,101,exists,"a(n) = (n-1)*(a(n-1) + a(n-2)), 
a(n) = a(n-1)^2/a(n-2) + a(n-1), 
a(n) = n*(2*a(n-1) - (n-1)*a(n-2))",,
A000161,partitions of n into 2 squares,https://oeis.org/A000161,200,hard,no,,
A000166,Subfactorial or rencontres numbers,https://oeis.org/A000166,200,exists,"a(n) = (n-1)*(a(n-1) + a(n-2)), a(n) = n*a(n-1) + (-1)^n,",,
A000169,labeled rooted trees with n nodes,https://oeis.org/A000169,100,exitst?,a(n) = n^(n-1),,
A000182,Tangent or Zag numbers,https://oeis.org/A000182,200,hard,no,,
A000203,sum of the divisors,https://oeis.org/A000203,200,hard,no,,
A000204,Lucas num. (beginning w/ 1),https://oeis.org/A000204,200,exists,a_n = a_{n-1} + a_{n-2},yes! a_n = a_{n-1} + a_{n-2},
A000217,Triangular numbers,https://oeis.org/A000217,200,exists,"a(n) = binomial(n+1,2) = n*(n+1)/2 = 0 + 1 + 2 + ... + n, 
a(n) = a(-1-n), 
a(n) + a(n-1)*a(n+1) = a(n)^2, 
a(n) = (-1)^n*Sum_{k=1..n} (-1)^k*k^2, 
a(n+1) = ((n+2)/n)*a(n), 
a(n) = ((n+1)^3 - n^3 - 1)/6, 
a(n) = a(n-1) + (1 + sqrt(1 + 8*a(n-1)))/2, 
a(n) + a(n+1) = (n+1)^2, 
a(n) = a(n-2) + 2*n - 1
a(n) = 2*a(n-1) - a(n-2) + 1, 
a(n) = a(n-1) + n,","yes! 
a(n) = -a(n - 2) + 2*a(n - 1) + 1",no
A000219,,https://oeis.org/A000219,200,,,,
A000225,Sometimes Mersenne,https://oeis.org/A000225,200,E,"a(n) = 2^n - 1,
a(n) = Sum_{k=0..n-1} 2^k,
a(n) = a(n-1) + 2*a(n-2) + 2,
a(n+1) = 2*a(n) + 1,",yes! a(n) = 2*a(n - 1) + 1,"yes, a(n) = 2*a(n - 1) + 1"
A000244,Powers of 3,https://oeis.org/A000244,200,E,"a(n) = 3^n,
a(n) = 3*a(n-1),",yes! 3*a(n - 1),"yes, a(n) = 3*a(n - 1)"
A000262,sets of lists,https://oeis.org/A000262,200,E,a(n) = (2*n-1)*a(n-1) - (n-1)*(n-2)*a(n-2),,
A000272,trees on n labeled nodes,https://oeis.org/A000272,200,E,"a(n) = n^(n-2), a(n+1) = Sum_{i=1..n} i * n^(n-1-i) * binomial(n, i)",,
A000273,unlabeled simple digraphs,https://oeis.org/A000273,65,hard,"no, a(n) ~ 2^(n*(n-1))/n!",,
A000290, The squares,https://oeis.org/A000290,200,E,"a(n) = n^2,
a(n) = 2*a(n-1) - a(n-2) + 2,
a(n) = a(n-1) + 2*n - 1.",yes!  a(n) = n^2,
A000292,Tetrahedral (or triangular pyramidal),https://oeis.org/A000292,200,E,"a(n) = C(n+2,3) = n*(n+1)*(n+2)/6, 
a(n) = Sum_{k=1..n} Sum_{j=0..k} j,
a(2n) = A002492(n), 
a(2n+1) = A000447(n+1),
a(n) = Sum_{1 <= i <= j <= n} |i - j|,
a(n) = (n+3)*a(n-1)/n,
a(n) = 4*a(n-1) - 6*a(n-2) + 4*a(n-3) - a(n-4), 
a(n) = Sum_{k = 1..n} k*(n-k+1), 
a(n) = 3*a(n-1) - 3*a(n-2) + a(n-3) + 1.",yes! a(n) = a(n - 3) - 3*a(n - 2) + 3*a(n - 1) + 1,
A000302, Powers of 4,https://oeis.org/A000302,101,E,"a(n) = 4^n, 
a(n) = 4*a(n-1), 
a(n) = 5*a(n - 1) - 4*a(n - 2)",yes! a(n) = 4*a(n - 1),"yes, a(n) = 4*a(n - 1)"
A000311,Schroeder's fourth problem,https://oeis.org/A000311,200,hard,"no, a(n+1) = (n+2)*a(n) + 2*Sum_{k=2..n-1} binomial(n, k)*a(k)*a(n-k+1).",,
A000312,,https://oeis.org/A000312,200,,,,
A000326,Pentagonal numbers,https://oeis.org/A000326,200,E,"a(n) = n*(3*n-1)/2, 
a(n) = 2*a(n-1) - a(n-2) + 3,
a(n) = Sum_{k=1..n} (2*n - k),
a(n) = binomial(n+1, 2) + 2*binomial(n, 2).
a(n) = 3*a(n-1) - 3*a(n-2) + a(n-3), 
a(n) = a(n-1) + 3*n-2 ",yes! a(n) = -a(n - 2) + 2*a(n - 1) + 3,
