sequence ID,URL,length (# available seq members leq 200),cathegory (trivial/exists/none),ground truth,Diofantos,SINDy
A000002,https://oeis.org/A000002,200,,,,
A000005,https://oeis.org/A000005,200,,,,
A000009,https://oeis.org/A000009,200,,,,
A000010,https://oeis.org/A000010,200,,,,
A000014,https://oeis.org/A000014,200,,,,
A000019,https://oeis.org/A000019,200,,,,
A000029,https://oeis.org/A000029,200,,,,
A000031,https://oeis.org/A000031,200,,,,
A000032,https://oeis.org/A000032,200,,,,
A000035,https://oeis.org/A000035,200,,,,
A000040,https://oeis.org/A000040,200,,,,
A000041,https://oeis.org/A000041,200,,,,
A000043,https://oeis.org/A000043,47,,,,
A000045,https://oeis.org/A000045,200,,,,
A000048,https://oeis.org/A000048,200,,,,
A000055,https://oeis.org/A000055,200,,,,
A000058,https://oeis.org/A000058,13,,,,
A000069,https://oeis.org/A000069,200,,,,
A000079,https://oeis.org/A000079,200,,,,
A000081,https://oeis.org/A000081,200,,,,
A000085,https://oeis.org/A000085,200,,,,
A000088,https://oeis.org/A000088,88,,,,
A000105,https://oeis.org/A000105,49,,,,
A000108,https://oeis.org/A000108,200,,,,
A000110,https://oeis.org/A000110,200,,,,
A000111,https://oeis.org/A000111,200,,,,
A000120,https://oeis.org/A000120,200,,,,
A000123,https://oeis.org/A000123,200,,,,
A000124,https://oeis.org/A000124,200,,,,
A000129,https://oeis.org/A000129,200,,,,
A000140,https://oeis.org/A000140,200,,,,
A000142,https://oeis.org/A000142,101,,,,
A000161,https://oeis.org/A000161,200,,,,
A000166,https://oeis.org/A000166,200,,,,
A000169,https://oeis.org/A000169,100,,,,
A000182,https://oeis.org/A000182,200,,,,
A000203,https://oeis.org/A000203,200,,,,
A000204,https://oeis.org/A000204,200,,,,
A000217,https://oeis.org/A000217,200,,,,
A000219,https://oeis.org/A000219,200,,,,
A000225,https://oeis.org/A000225,200,,,,
A000244,https://oeis.org/A000244,200,,,,
A000262,https://oeis.org/A000262,200,,,,
A000272,https://oeis.org/A000272,200,,,,
