  complexity    length       TE    TE_inf  expr_x                       expr_y                                 expr_z                                          index_column  method    exp_type    data_version    system      snr    init
          10        14  6.21696   7.2978   0.55*y                       -0.033*x*z                             -0.411*x                                                   0  proged    numdif      all             lorenz       13       1
           9        12  6.56728   7.85815  0.55*y                       -0.595*x                               -0.411*x                                                   1  proged    numdif      all             lorenz       13       1
          14        21  6.12443   7.34973  0.55*y                       -0.595*x                               0.362*x*y - 3.288*x                                        2  proged    numdif      all             lorenz       13       1
          22        40  3.07027   3.21977  -2.258*x + 3.063*y - 7.157   -0.113*x*z + 24.729                    0.362*x*y - 3.288*x                                        3  proged    numdif      all             lorenz       13       1
          26        52  3.00788   3.1273   -2.258*x + 3.063*y - 7.157   -0.113*x*z + 24.729                    0.374*x*y - 3.075*x - 0.204*z + 2.559                      4  proged    numdif      all             lorenz       13       1
          28        54  3.00259   3.14979  -2.258*x + 3.063*y - 7.157   -0.378*x*z + 6.911*x + 2.203*z - 30.0  0.362*x*y - 3.288*x                                        5  proged    numdif      all             lorenz       13       1
          32        66  2.98518   3.02963  -2.258*x + 3.063*y - 7.157   -0.378*x*z + 6.911*x + 2.203*z - 30.0  0.374*x*y - 3.075*x - 0.204*z + 2.559                      6  proged    numdif      all             lorenz       13       1
          19        33  3.64965   4.17272  -2.707*x + 2.807*y           -0.113*x*z + 24.729                    0.317*x*y - 22.19                                          7  proged    numdif      all             lorenz       13       1
          20        34  3.30098   3.63611  -2.707*x + 2.807*y           -0.113*x*z + 24.729                    0.24*y**2 - 20.011                                         8  proged    numdif      all             lorenz       13       1
          17        28  4.86181   6.22989  -2.707*x + 2.807*y           -0.113*x*z + 24.729                    0.115*x*y                                                  9  proged    numdif      all             lorenz       13       1
          18        29  4.71761   6.04339  -2.707*x + 2.807*y           -0.113*x*z + 24.729                    0.12*y**2                                                 10  proged    numdif      all             lorenz       13       1
          21        35  3.12261   3.30856  -2.707*x + 2.807*y           -0.113*x*z + 24.729                    0.362*x*y - 3.288*x                                       11  proged    numdif      all             lorenz       13       1
          25        47  3.04549   3.19052  -2.707*x + 2.807*y           -0.113*x*z + 24.729                    0.374*x*y - 3.075*x - 0.204*z + 2.559                     12  proged    numdif      all             lorenz       13       1
          34        67  2.88724   2.87838  -2.707*x + 2.807*y           -0.378*x*z + 6.911*x + 2.203*z - 30.0  0.048*y**2/(0.052*y + 1)**2 + 3.201*y - 30.0              13  proged    numdif      all             lorenz       13       1
          16        28  6.04501   7.02033  -0.069*x*z + 2.826*y - 7.55  -0.033*x*z                             -0.411*x                                                  14  proged    numdif      all             lorenz       13       1
          15        26  6.12001   7.2413   -0.069*x*z + 2.826*y - 7.55  -0.595*x                               -0.411*x                                                  15  proged    numdif      all             lorenz       13       1
