  complexity    length        TE     TE_inf  expr_x                                            expr_y                                                            expr_z                                       index_column  method    exp_type    data_version    system      snr    init
          42        84   1.30089   1.25574   0.1*x*y - 7.258*x + 7.916*y - 12.266              0.051*x*y + 0.027*x*z**2 - 1.971*x*z + 28.695*x + 1.412*z + 1.37  0.713*x*y - 1.873*z                                     0  proged    numdif      all             lorenz       30       3
          17        30   7.76059   7.73058   0.531*y                                           -0.033*x*z                                                        0.032*x*y*z - 3.428*z + 30.0                            1  proged    numdif      all             lorenz       30       3
           9        12  10.7742   10.731     0.531*y                                           0.142*z                                                           -1.029*y                                                2  proged    numdif      all             lorenz       30       3
          15        26   9.25479   9.21111   0.531*y                                           0.142*z                                                           0.705*x*y - 2.082*z + 6.307                             3  proged    numdif      all             lorenz       30       3
          22        38   6.97188   6.96736   0.531*y                                           0.001*x**4                                                        -3.886*x*y/(y - 14.528) - 6.698*y + 7.711               4  proged    numdif      all             lorenz       30       3
          24        42   3.12447   3.15055   -6.77*x + 7.014*y - 1.742                         -0.548*x*z + 14.677*x                                             0.713*x*y - 1.873*z                                     5  proged    numdif      all             lorenz       30       3
          28        54   2.9082    2.92036   -6.77*x + 7.014*y - 1.742                         -0.548*x*z + 14.677*x                                             0.644*x*y - 1.435*x - 1.836*z + 15.028                  6  proged    numdif      all             lorenz       30       3
          38        75   1.41138   1.36545   -6.77*x + 7.014*y - 1.742                         0.051*x*y + 0.027*x*z**2 - 1.971*x*z + 28.695*x + 1.412*z + 1.37  0.713*x*y - 1.873*z                                     7  proged    numdif      all             lorenz       30       3
          41        82   1.38015   1.34739   -6.77*x + 7.014*y - 1.742                         0.051*x*y + 0.027*x*z**2 - 1.971*x*z + 28.695*x + 1.412*z + 1.37  0.669*x*y - 1.268*x - 1.401*z                           8  proged    numdif      all             lorenz       30       3
          43        85   1.17418   1.13772   -7.455*x + 0.099*y**2 + 8.598*y - 16.498          0.051*x*y + 0.027*x*z**2 - 1.971*x*z + 28.695*x + 1.412*z + 1.37  0.713*x*y - 1.873*z                                     9  proged    numdif      all             lorenz       30       3
          11        15  10.6201   10.576     0.004*y**3                                        0.142*z                                                           -1.029*y                                               10  proged    numdif      all             lorenz       30       3
          18        31   7.59833   7.56567   0.004*y**3                                        0.142*z                                                           0.032*x*y*z - 3.428*z + 30.0                           11  proged    numdif      all             lorenz       30       3
          13        19   9.84333   9.79468   -6.894*x + 6.961*y                                0.142*z                                                           -1.029*y                                               12  proged    numdif      all             lorenz       30       3
          23        37   3.26905   3.29336   -6.894*x + 6.961*y                                -0.548*x*z + 14.677*x                                             0.713*x*y - 1.873*z                                    13  proged    numdif      all             lorenz       30       3
          27        49   3.03203   3.0454    -6.894*x + 6.961*y                                -0.548*x*z + 14.677*x                                             0.644*x*y - 1.435*x - 1.836*z + 15.028                 14  proged    numdif      all             lorenz       30       3
          37        70   1.43969   1.39588   -6.894*x + 6.961*y                                0.051*x*y + 0.027*x*z**2 - 1.971*x*z + 28.695*x + 1.412*z + 1.37  0.713*x*y - 1.873*z                                    15  proged    numdif      all             lorenz       30       3
          40        77   1.40786   1.37702   -6.894*x + 6.961*y                                0.051*x*y + 0.027*x*z**2 - 1.971*x*z + 28.695*x + 1.412*z + 1.37  0.669*x*y - 1.268*x - 1.401*z                          16  proged    numdif      all             lorenz       30       3
          32        59   2.30023   2.30091   -8.315*x + 7.442*y - 0.075*z**2 + 3.447*z - 30.0  -0.548*x*z + 14.677*x                                             0.713*x*y - 1.873*z                                    17  proged    numdif      all             lorenz       30       3
          46        92   1.03555   0.982086  -8.315*x + 7.442*y - 0.075*z**2 + 3.447*z - 30.0  0.051*x*y + 0.027*x*z**2 - 1.971*x*z + 28.695*x + 1.412*z + 1.37  0.713*x*y - 1.873*z                                    18  proged    numdif      all             lorenz       30       3
          30        54   2.69777   2.71244   -0.009*x*y**2 - 7.225*x + 9.475*y - 12.927        -0.548*x*z + 14.677*x                                             0.713*x*y - 1.873*z                                    19  proged    numdif      all             lorenz       30       3
          44        87   1.13187   1.08489   -0.009*x*y**2 - 7.225*x + 9.475*y - 12.927        0.051*x*y + 0.027*x*z**2 - 1.971*x*z + 28.695*x + 1.412*z + 1.37  0.713*x*y - 1.873*z                                    20  proged    numdif      all             lorenz       30       3
          31        63   2.62163   2.63523   -0.216*x*z + 0.279*y*z - 13.782                   -0.533*x*z + 13.575*x + 6.677                                     0.644*x*y - 1.435*x - 1.836*z + 15.028                 21  proged    numdif      all             lorenz       30       3
