  complexity    length         TE     TE_inf  expr_x                                            expr_y                                                            expr_z                                    index_column  method    exp_type    data_version    system      snr    init
          17        30   7.82953    7.82953   0.511*y                                           -0.034*x*z                                                        0.035*x*y*z - 3.611*z + 30.0                         0  proged    numdif      all             lorenz      inf       3
           9        12  10.7231    10.7231    0.511*y                                           0.151*z                                                           -1.127*y                                             1  proged    numdif      all             lorenz      inf       3
          12        17  10.7183    10.7183    0.511*y                                           0.001*x**4                                                        0.181*x*y                                            2  proged    numdif      all             lorenz      inf       3
          25        47   3.63276    3.63276   -6.9*x + 7.097*y - 1.476                          -0.483*x*z + 12.527*x + 3.98                                      0.768*x*y - 2.018*z                                  3  proged    numdif      all             lorenz      inf       3
          28        54   3.05968    3.05968   -6.9*x + 7.097*y - 1.476                          -0.493*x*z + 13.216*x                                             0.695*x*y - 1.587*x - 1.892*z + 13.967               4  proged    numdif      all             lorenz      inf       3
          38        75   1.4517     1.4517    -6.9*x + 7.097*y - 1.476                          0.068*x*y + 0.026*x*z**2 - 1.993*x*z + 30.0*x + 0.878*z + 14.755  0.768*x*y - 2.018*z                                  5  proged    numdif      all             lorenz      inf       3
          41        82   1.29689    1.29689   -6.9*x + 7.097*y - 1.476                          0.068*x*y + 0.026*x*z**2 - 1.993*x*z + 30.0*x + 0.878*z + 14.755  0.72*x*y - 1.399*x - 1.502*z                         6  proged    numdif      all             lorenz      inf       3
          43        85   1.21379    1.21379   -7.593*x + 0.097*y**2 + 8.657*y - 15.859          0.068*x*y + 0.026*x*z**2 - 1.993*x*z + 30.0*x + 0.878*z + 14.755  0.768*x*y - 2.018*z                                  7  proged    numdif      all             lorenz      inf       3
          13        19   9.7182     9.7182    -7.007*x + 7.052*y                                0.151*z                                                           -1.127*y                                             8  proged    numdif      all             lorenz      inf       3
          24        42   3.69071    3.69071   -7.007*x + 7.052*y                                -0.483*x*z + 12.527*x + 3.98                                      0.768*x*y - 2.018*z                                  9  proged    numdif      all             lorenz      inf       3
          26        44   3.4683     3.4683    -7.007*x + 7.052*y                                -0.445*x*z + 10.928*x + 0.346*z                                   0.768*x*y - 2.018*z                                 10  proged    numdif      all             lorenz      inf       3
          23        37   3.81047    3.81047   -7.007*x + 7.052*y                                -0.493*x*z + 13.216*x                                             0.768*x*y - 2.018*z                                 11  proged    numdif      all             lorenz      inf       3
          27        49   3.16801    3.16801   -7.007*x + 7.052*y                                -0.493*x*z + 13.216*x                                             0.695*x*y - 1.587*x - 1.892*z + 13.967              12  proged    numdif      all             lorenz      inf       3
          37        70   1.46921    1.46921   -7.007*x + 7.052*y                                0.068*x*y + 0.026*x*z**2 - 1.993*x*z + 30.0*x + 0.878*z + 14.755  0.768*x*y - 2.018*z                                 13  proged    numdif      all             lorenz      inf       3
          40        77   1.32286    1.32286   -7.007*x + 7.052*y                                0.068*x*y + 0.026*x*z**2 - 1.993*x*z + 30.0*x + 0.878*z + 14.755  0.72*x*y - 1.399*x - 1.502*z                        14  proged    numdif      all             lorenz      inf       3
          32        59   2.60776    2.60776   -9.174*x + 7.903*y - 0.082*z**2 + 3.746*z - 30.0  -0.493*x*z + 13.216*x                                             0.768*x*y - 2.018*z                                 15  proged    numdif      all             lorenz      inf       3
          46        92   0.969287   0.969287  -9.174*x + 7.903*y - 0.082*z**2 + 3.746*z - 30.0  0.068*x*y + 0.026*x*z**2 - 1.993*x*z + 30.0*x + 0.878*z + 14.755  0.768*x*y - 2.018*z                                 16  proged    numdif      all             lorenz      inf       3
          49        99   0.915518   0.915518  -9.174*x + 7.903*y - 0.082*z**2 + 3.746*z - 30.0  0.068*x*y + 0.026*x*z**2 - 1.993*x*z + 30.0*x + 0.878*z + 14.755  0.72*x*y - 1.399*x - 1.502*z                        17  proged    numdif      all             lorenz      inf       3
          31        59   2.90162    2.90162   -0.01*x*y**2 - 7.409*x + 9.661*y - 12.885         -0.483*x*z + 12.527*x + 3.98                                      0.768*x*y - 2.018*z                                 18  proged    numdif      all             lorenz      inf       3
          34        66   2.4464     2.4464    -0.01*x*y**2 - 7.409*x + 9.661*y - 12.885         -0.493*x*z + 13.216*x                                             0.695*x*y - 1.587*x - 1.892*z + 13.967              19  proged    numdif      all             lorenz      inf       3
          44        87   1.12085    1.12085   -0.01*x*y**2 - 7.409*x + 9.661*y - 12.885         0.068*x*y + 0.026*x*z**2 - 1.993*x*z + 30.0*x + 0.878*z + 14.755  0.768*x*y - 2.018*z                                 20  proged    numdif      all             lorenz      inf       3
          33        65   2.60547    2.60547   -0.211*x*z + 0.275*y*z - 14.28                    -0.445*x*z + 10.928*x + 0.346*z                                   0.695*x*y - 1.587*x - 1.892*z + 13.967              21  proged    numdif      all             lorenz      inf       3
