  complexity    length        TE    TE_inf  expr_x                                                          expr_y                                                           expr_z                                  index_column  method    exp_type    data_version    system      snr    init
           9        12  12.4297   12.6201   0.604*y                                                         -0.633*x                                                         -0.114*y                                           0  proged    numdif      allonger        lorenz       30       3
          11        15   9.04283   9.14485  0.604*y                                                         -0.633*x                                                         0.241*y**2                                         1  proged    numdif      allonger        lorenz       30       3
          24        46   6.85349   6.90939  -9.644*x + 9.734*y - 0.639                                      -0.91*x*z + 24.117*x + 3.522                                     0.491*y**2 - 30.0                                  2  proged    numdif      allonger        lorenz       30       3
          26        48   3.29008   3.30725  -9.644*x + 9.734*y - 0.639                                      -0.899*x*z + 23.507*x + 0.236*z                                  0.491*y**2 - 30.0                                  3  proged    numdif      allonger        lorenz       30       3
          28        50   3.27281   3.28966  -9.629*x + 9.734*y - 0.029*z                                    -0.899*x*z + 23.507*x + 0.236*z                                  0.491*y**2 - 30.0                                  4  proged    numdif      allonger        lorenz       30       3
          23        41   6.9014    6.95636  -9.707*x + 9.728*y                                              -0.91*x*z + 24.117*x + 3.522                                     0.491*y**2 - 30.0                                  5  proged    numdif      allonger        lorenz       30       3
          25        43   3.29372   3.31088  -9.707*x + 9.728*y                                              -0.899*x*z + 23.507*x + 0.236*z                                  0.491*y**2 - 30.0                                  6  proged    numdif      allonger        lorenz       30       3
          21        35   8.87431   8.93903  -9.707*x + 9.728*y                                              -0.923*x*z + 24.87*x                                             0.554*x*y - 30.0                                   7  proged    numdif      allonger        lorenz       30       3
          22        36   8.3576    8.4271   -9.707*x + 9.728*y                                              -0.923*x*z + 24.87*x                                             0.491*y**2 - 30.0                                  8  proged    numdif      allonger        lorenz       30       3
          30        57   3.2326    3.24961  -9.707*x + 9.728*y                                              -0.007*x*y - 0.902*x*z + 23.674*x + 0.661*z - 11.8               0.491*y**2 - 30.0                                  9  proged    numdif      allonger        lorenz       30       3
          35        65   1.93151   1.90714  -9.707*x + 9.728*y                                              -0.889*x*z + 23.853*x + 4.348*x/(x - 15.587) + 0.839*z - 15.818  0.967*x*y - 2.569*z                               10  proged    numdif      allonger        lorenz       30       3
          36        70   1.90172   1.87551  -9.707*x + 9.728*y                                              -0.889*x*z + 23.853*x + 4.348*x/(x - 15.587) + 0.839*z - 15.818  0.967*x*y - 2.625*z + 1.58                        11  proged    numdif      allonger        lorenz       30       3
          39        77   1.89513   1.8688   -9.707*x + 9.728*y                                              -0.889*x*z + 23.853*x + 4.348*x/(x - 15.587) + 0.839*z - 15.818  0.966*x*y - 0.186*x - 2.59*z + 2.185              12  proged    numdif      allonger        lorenz       30       3
          51       103   1.87382   1.84613  -0.119*x**3/(x - 30.0) - 0.068*x*z - 7.555*x + 9.027*y - 0.365  -0.889*x*z + 23.853*x + 4.348*x/(x - 15.587) + 0.839*z - 15.818  0.967*x*y - 2.625*z + 1.58                        13  proged    numdif      allonger        lorenz       30       3
          31        58   3.17298   3.1813   -9.606*x - 0.013*y*z + 9.985*y                                  -0.899*x*z + 23.507*x + 0.236*z                                  0.967*x*y - 2.625*z + 1.58                        14  proged    numdif      allonger        lorenz       30       3
          34        65   1.95185   1.93188  -9.606*x - 0.013*y*z + 9.985*y                                  -0.899*x*z + 23.507*x + 0.236*z                                  0.966*x*y - 0.186*x - 2.59*z + 2.185              15  proged    numdif      allonger        lorenz       30       3
          40        79   1.89376   1.86677  -9.606*x - 0.013*y*z + 9.985*y                                  -0.889*x*z + 23.853*x + 4.348*x/(x - 15.587) + 0.839*z - 15.818  0.967*x*y - 2.625*z + 1.58                        16  proged    numdif      allonger        lorenz       30       3
          43        86   1.88769   1.86058  -9.606*x - 0.013*y*z + 9.985*y                                  -0.889*x*z + 23.853*x + 4.348*x/(x - 15.587) + 0.839*z - 15.818  0.966*x*y - 0.186*x - 2.59*z + 2.185              17  proged    numdif      allonger        lorenz       30       3
          46        94   1.88579   1.85848  -0.e-3*x*z**2 - 8.599*x + 9.372*y - 2.367                       -0.889*x*z + 23.853*x + 4.348*x/(x - 15.587) + 0.839*z - 15.818  0.966*x*y - 0.186*x - 2.59*z + 2.185              18  proged    numdif      allonger        lorenz       30       3
